ensg	length	n_trypsin	n_lysc	n_gluc	n_gluc_de	n_chymotrypsin	n_aspn
ENSG00000154760	897	34	22	36	49	41	17
ENSG00000105576	897	35	19	35	54	35	25
ENSG00000101773	897	47	43	45	51	20	22
ENSG00000131778	897	41	32	36	40	38	25
ENSG00000134762	896	45	19	38	48	35	26
ENSG00000135740	896	33	18	24	43	38	20
ENSG00000085832	896	46	34	30	51	27	37
ENSG00000101577	896	39	26	32	48	27	30
ENSG00000105732	896	30	13	39	48	28	6
ENSG00000102921	896	47	24	38	48	32	25
ENSG00000134987	895	40	22	16	47	42	29
ENSG00000162702	895	28	20	31	41	24	18
ENSG00000087365	895	40	29	31	34	16	15
ENSG00000183230	895	45	29	37	51	13	27
ENSG00000173402	895	39	17	25	42	22	22
ENSG00000132669	895	40	26	35	50	35	27
ENSG00000090989	894	42	35	36	52	35	30
ENSG00000134765	894	44	29	35	57	35	41
ENSG00000167601	894	33	11	23	39	36	26
ENSG00000127152	894	40	16	22	36	21	23
ENSG00000011566	894	43	24	29	44	41	23
ENSG00000164256	894	45	23	47	51	47	11
ENSG00000198879	894	43	31	37	49	27	23
ENSG00000129351	894	35	26	24	26	28	14
ENSG00000125675	894	39	17	30	44	46	22
ENSG00000138823	894	46	38	35	54	32	21
ENSG00000077522	894	55	29	43	51	47	30
ENSG00000152404	894	50	45	48	58	34	32
ENSG00000013364	893	43	26	38	49	25	29
ENSG00000135436	893	57	37	41	46	27	20
ENSG00000145348	893	39	21	28	47	41	34
ENSG00000174885	892	41	10	28	46	16	20
ENSG00000072110	892	53	31	46	50	48	33
ENSG00000196700	892	38	30	26	42	17	16
ENSG00000166750	891	40	31	37	50	40	22
ENSG00000204396	891	32	4	23	48	27	19
ENSG00000170703	891	47	27	25	40	37	23
ENSG00000162643	891	42	33	33	48	43	25
ENSG00000112984	890	46	26	34	42	22	21
ENSG00000164588	890	31	19	15	35	34	23
ENSG00000134324	890	43	27	25	46	27	27
ENSG00000092445	890	42	16	22	40	41	24
ENSG00000115825	890	31	25	24	39	36	23
ENSG00000259956	890	46	21	26	41	29	23
ENSG00000109501	890	37	24	33	37	31	18
ENSG00000148468	890	34	15	30	44	26	25
ENSG00000162267	890	35	22	28	49	37	33
ENSG00000134917	889	36	17	23	40	34	28
ENSG00000159314	889	33	12	38	44	36	27
ENSG00000122729	889	42	22	25	46	43	26
ENSG00000091039	889	52	47	36	38	38	23
ENSG00000160447	889	40	15	33	43	29	16
ENSG00000130475	889	35	16	39	46	36	16
ENSG00000167680	888	32	7	18	46	34	27
ENSG00000154447	888	39	21	15	25	15	16
ENSG00000075643	888	44	13	21	47	42	26
ENSG00000165186	888	29	18	15	30	40	16
ENSG00000113161	888	40	22	30	45	23	14
ENSG00000152520	887	29	17	15	41	26	23
ENSG00000159733	887	34	15	36	45	20	34
ENSG00000122507	887	38	20	20	46	37	32
ENSG00000137941	887	44	34	29	47	38	22
ENSG00000070882	887	43	28	33	45	36	24
ENSG00000078142	887	45	38	35	51	33	36
ENSG00000102786	887	50	34	34	49	32	26
ENSG00000158220	886	37	19	24	36	35	21
ENSG00000174837	886	22	19	22	31	46	13
ENSG00000084693	886	42	16	23	33	27	18
ENSG00000065989	886	38	11	29	42	26	23
ENSG00000144535	885	50	37	25	46	39	26
ENSG00000171824	885	53	34	34	49	29	35
ENSG00000113231	885	39	17	33	51	26	31
ENSG00000128536	885	35	15	32	42	38	23
ENSG00000166507	883	46	15	24	43	39	15
ENSG00000120251	883	43	31	30	46	43	25
ENSG00000149289	883	43	25	35	51	27	32
ENSG00000172985	882	35	18	21	31	16	18
ENSG00000039068	882	25	12	38	47	33	39
ENSG00000070614	882	49	31	29	45	40	23
ENSG00000140464	882	48	13	42	42	23	16
ENSG00000184571	882	48	37	27	43	37	19
ENSG00000198108	882	47	20	27	44	42	17
ENSG00000133687	882	46	26	18	34	40	13
ENSG00000057294	881	49	21	27	47	25	21
ENSG00000123064	881	46	24	30	43	30	24
ENSG00000185504	881	32	8	25	47	22	25
ENSG00000140750	881	28	25	24	34	17	21
ENSG00000088367	881	45	31	41	47	29	25
ENSG00000105063	881	32	10	31	46	14	25
ENSG00000188993	880	30	16	31	47	23	33
ENSG00000141506	880	39	17	26	42	26	22
ENSG00000270765	880	45	16	24	41	22	19
ENSG00000134247	879	48	22	28	47	43	31
ENSG00000067066	879	40	32	49	52	25	21
ENSG00000109323	879	37	22	32	55	49	23
ENSG00000090857	879	46	18	31	47	47	23
ENSG00000021762	879	50	24	36	45	31	22
ENSG00000120539	879	39	26	33	47	25	30
ENSG00000106771	879	25	10	12	23	41	5
ENSG00000105287	878	30	18	26	42	33	24
ENSG00000140563	878	37	33	20	41	37	33
ENSG00000160293	878	48	35	27	44	48	32
ENSG00000254470	878	33	2	20	36	20	16
ENSG00000175221	877	39	22	17	43	30	23
ENSG00000113262	877	35	10	26	33	38	16
ENSG00000187609	876	43	9	28	51	22	30
ENSG00000087087	876	42	23	37	39	28	28
ENSG00000141441	876	44	29	30	42	36	21
ENSG00000166387	876	46	28	40	40	21	25
ENSG00000108424	876	35	18	45	51	27	20
ENSG00000129680	876	44	46	47	48	5	21
ENSG00000164654	875	52	21	26	49	43	34
ENSG00000119771	875	32	15	22	36	37	20
ENSG00000138735	875	49	32	43	47	36	22
ENSG00000114062	875	42	24	34	51	45	27
ENSG00000178105	875	45	33	39	48	30	24
ENSG00000133612	875	28	11	26	45	20	18
ENSG00000154269	875	38	22	25	47	40	24
ENSG00000164099	875	43	19	23	38	42	14
ENSG00000088836	875	28	12	19	26	41	11
ENSG00000065328	875	45	40	36	39	16	15
ENSG00000181789	874	49	33	34	43	36	20
ENSG00000164830	874	44	33	38	40	32	29
ENSG00000165895	874	54	39	38	45	36	13
ENSG00000111452	874	27	8	20	26	50	11
ENSG00000119698	873	44	26	35	47	23	22
ENSG00000147852	873	45	25	38	50	35	37
ENSG00000164100	873	49	32	23	43	45	20
ENSG00000110075	873	43	24	42	54	22	33
ENSG00000112320	873	33	23	23	38	14	19
ENSG00000165309	872	48	37	45	52	21	29
ENSG00000170085	872	41	16	27	48	15	28
ENSG00000120051	872	48	50	52	53	22	22
ENSG00000138653	872	51	32	24	39	45	20
ENSG00000164082	872	40	6	19	36	38	21
ENSG00000075043	872	46	25	23	35	36	17
ENSG00000205189	871	34	22	24	38	28	25
ENSG00000158623	871	46	29	31	42	40	24
ENSG00000114790	871	46	26	28	38	30	22
ENSG00000165138	871	45	21	23	40	16	26
ENSG00000110844	871	30	21	34	44	28	23
ENSG00000111199	871	35	18	22	49	31	34
ENSG00000137573	871	37	28	32	46	33	16
ENSG00000142528	871	49	35	47	46	45	10
ENSG00000244486	871	37	15	36	51	14	12
ENSG00000079805	870	46	27	32	42	29	29
ENSG00000150672	870	43	25	28	49	35	29
ENSG00000155026	870	41	29	42	44	37	26
ENSG00000163328	870	31	16	22	34	45	10
ENSG00000050820	870	42	21	18	40	36	33
ENSG00000196562	870	35	26	23	39	35	22
ENSG00000169402	870	41	29	42	44	36	26
ENSG00000011021	869	38	15	20	27	42	12
ENSG00000102870	869	45	21	44	57	40	16
ENSG00000206557	868	40	18	30	54	28	33
ENSG00000170248	868	48	34	36	46	25	19
ENSG00000196867	868	52	32	37	42	50	14
ENSG00000188089	868	34	21	31	48	33	21
ENSG00000079263	867	50	25	41	45	26	23
ENSG00000134874	867	43	36	39	49	19	16
ENSG00000118690	867	44	28	22	42	32	23
ENSG00000129173	867	35	31	30	35	22	12
ENSG00000186806	867	41	10	20	37	27	23
ENSG00000132837	866	46	29	33	37	40	15
ENSG00000136699	866	44	18	24	41	41	14
ENSG00000177663	866	23	8	28	40	33	26
ENSG00000011275	866	41	29	46	53	33	25
ENSG00000164134	866	52	45	43	48	46	19
ENSG00000171560	866	35	19	34	43	39	29
ENSG00000197566	865	54	33	51	54	46	11
ENSG00000130226	865	43	31	36	47	38	25
ENSG00000263956	865	38	33	41	44	21	25
ENSG00000182504	865	39	24	37	47	23	22
ENSG00000007062	865	40	26	22	41	40	20
ENSG00000172766	864	47	43	35	46	44	20
ENSG00000127527	864	48	39	28	44	29	36
ENSG00000106976	864	46	27	30	44	28	33
ENSG00000159023	864	43	37	34	43	21	25
ENSG00000104738	863	46	23	33	46	31	30
ENSG00000136960	863	37	25	24	38	45	27
ENSG00000143537	863	33	8	19	35	18	29
ENSG00000100139	863	40	16	30	38	15	14
ENSG00000058056	863	41	25	36	46	44	27
ENSG00000169760	863	29	15	16	44	42	31
ENSG00000142002	863	42	22	31	51	55	23
ENSG00000103126	862	40	21	33	46	23	21
ENSG00000029725	862	55	39	44	45	18	32
ENSG00000122512	862	46	36	29	42	26	29
ENSG00000141384	862	36	31	23	26	4	9
ENSG00000187764	862	33	22	31	42	42	17
ENSG00000081985	862	44	19	23	33	35	17
ENSG00000069018	862	38	26	31	39	45	17
ENSG00000126107	861	46	17	42	48	41	32
ENSG00000125207	861	51	24	21	38	39	24
ENSG00000146776	861	32	23	10	30	11	17
ENSG00000134698	861	40	28	19	39	32	21
ENSG00000178171	861	33	9	39	48	15	22
ENSG00000085840	861	43	26	38	44	19	16
ENSG00000240720	860	40	33	39	54	23	16
ENSG00000126070	860	44	22	21	38	33	27
ENSG00000196199	860	29	26	45	46	20	40
ENSG00000135966	860	37	20	41	53	44	28
ENSG00000164597	860	43	21	32	50	26	24
ENSG00000146909	860	44	35	35	47	22	27
ENSG00000095370	860	45	11	33	42	27	19
ENSG00000143643	860	42	23	35	46	42	25
ENSG00000130164	860	45	15	28	50	34	42
ENSG00000132915	860	48	33	31	44	42	34
ENSG00000123908	859	45	30	20	41	37	27
ENSG00000147650	859	41	13	25	37	24	25
ENSG00000181544	859	51	46	32	45	47	13
ENSG00000139625	859	35	15	33	44	22	20
ENSG00000089737	859	43	34	31	35	20	17
ENSG00000148600	859	31	13	24	48	35	33
ENSG00000159842	859	43	34	32	55	34	29
ENSG00000167658	858	45	35	28	52	34	30
ENSG00000134686	858	23	12	13	16	12	9
ENSG00000111667	858	38	23	37	50	36	42
ENSG00000120694	858	46	36	39	46	35	31
ENSG00000154222	858	35	32	50	50	14	24
ENSG00000068724	858	47	22	38	51	34	14
ENSG00000158445	858	39	27	35	40	35	13
ENSG00000149294	858	37	23	28	41	39	25
ENSG00000087269	857	40	38	37	41	23	17
ENSG00000112742	857	44	40	32	46	31	28
ENSG00000185344	856	40	19	26	41	48	10
ENSG00000107719	856	50	9	36	38	35	19
ENSG00000136059	856	45	27	36	48	30	19
ENSG00000143748	856	45	26	35	49	21	33
ENSG00000129667	856	38	19	20	31	42	16
ENSG00000105323	856	35	20	28	38	43	16
ENSG00000163611	855	48	24	30	37	13	14
ENSG00000149418	855	32	17	18	35	38	21
ENSG00000164818	855	44	11	31	49	19	27
ENSG00000147231	855	49	29	32	48	36	25
ENSG00000178226	855	25	2	23	34	32	7
ENSG00000204514	855	55	38	45	48	54	4
ENSG00000151883	854	46	28	31	37	33	20
ENSG00000277865	854	40	68	19	19	20	6
ENSG00000187742	854	34	28	38	44	21	18
ENSG00000006715	854	44	37	28	49	41	38
ENSG00000131061	854	26	25	20	37	22	14
ENSG00000147081	854	52	48	28	41	23	24
ENSG00000187017	854	27	13	18	37	16	20
ENSG00000133256	854	47	30	38	46	36	35
ENSG00000137574	853	39	26	38	45	31	32
ENSG00000111254	853	45	34	36	49	31	32
ENSG00000088305	853	39	26	28	39	29	19
ENSG00000134627	852	49	26	17	44	30	22
ENSG00000186185	852	43	19	25	40	14	22
ENSG00000164403	852	31	4	25	49	13	19
ENSG00000169962	852	25	3	16	32	41	13
ENSG00000004487	852	37	15	29	43	28	16
ENSG00000136114	852	38	15	30	52	35	17
ENSG00000183742	852	37	32	34	48	35	24
ENSG00000102910	852	39	21	28	41	16	25
ENSG00000140265	852	40	20	47	49	32	12
ENSG00000127081	852	47	40	40	49	54	14
ENSG00000170581	851	37	21	35	43	32	23
ENSG00000132793	851	38	24	27	43	25	24
ENSG00000197256	851	42	14	35	43	13	19
ENSG00000069702	851	30	17	35	48	26	15
ENSG00000089048	851	38	35	40	39	24	36
ENSG00000155903	850	45	37	31	45	34	26
ENSG00000158458	850	45	17	24	38	27	14
ENSG00000138892	850	49	25	19	43	22	29
ENSG00000168907	849	40	11	30	43	30	24
ENSG00000275052	849	38	30	42	42	36	28
ENSG00000196338	848	24	11	19	42	39	29
ENSG00000106546	848	25	18	21	45	41	27
ENSG00000137571	848	23	7	11	25	32	9
ENSG00000134215	847	48	37	36	52	35	24
ENSG00000173327	847	41	11	28	40	31	17
ENSG00000015479	847	38	24	27	32	31	24
ENSG00000012124	847	29	17	38	48	34	24
ENSG00000138399	847	42	20	35	52	40	21
ENSG00000166888	847	29	18	35	51	27	22
ENSG00000108592	847	34	34	35	48	24	24
ENSG00000100504	847	51	37	27	53	42	32
ENSG00000126787	846	47	37	40	47	17	19
ENSG00000134852	846	26	16	25	31	24	16
ENSG00000165322	846	45	35	38	48	37	32
ENSG00000187257	846	36	22	34	47	26	22
ENSG00000012983	846	40	24	30	50	41	28
ENSG00000244694	846	30	17	12	31	39	13
ENSG00000141968	845	45	27	36	53	39	23
ENSG00000164169	845	35	21	46	54	33	32
ENSG00000204574	845	37	26	37	41	22	21
ENSG00000099834	845	21	6	19	29	23	16
ENSG00000188385	844	45	37	57	54	16	24
ENSG00000214694	844	42	30	38	44	27	19
ENSG00000264522	843	47	19	36	40	26	20
ENSG00000018699	843	40	26	40	42	42	20
ENSG00000165914	843	42	16	37	49	31	17
ENSG00000168646	843	36	18	27	43	25	15
ENSG00000176040	843	46	21	12	29	39	14
ENSG00000119707	843	31	35	31	24	14	21
ENSG00000112936	843	43	25	37	46	39	9
ENSG00000100994	843	49	29	34	52	41	34
ENSG00000006025	842	44	12	34	45	24	16
ENSG00000115657	842	35	8	19	29	34	15
ENSG00000053108	842	49	16	25	48	30	27
ENSG00000077684	842	50	28	32	37	34	24
ENSG00000068976	842	50	20	33	53	40	23
ENSG00000116871	841	31	25	29	37	9	5
ENSG00000173662	841	33	14	13	30	48	11
ENSG00000068400	841	46	29	50	50	9	18
ENSG00000184564	841	35	23	23	33	34	15
ENSG00000112182	841	40	20	37	42	26	22
ENSG00000166924	841	39	19	17	31	7	9
ENSG00000114904	841	43	34	45	57	21	24
ENSG00000099949	840	48	24	30	48	32	25
ENSG00000105929	840	32	14	25	39	42	13
ENSG00000170606	840	50	37	36	42	34	29
ENSG00000112293	840	37	14	21	39	42	27
ENSG00000141446	840	46	44	35	40	18	16
ENSG00000198925	839	39	8	30	39	38	14
ENSG00000215305	839	39	19	31	48	42	26
ENSG00000196652	839	48	30	48	50	39	20
ENSG00000140538	839	33	15	23	43	37	21
ENSG00000164070	839	52	36	38	46	30	32
ENSG00000136869	839	37	18	27	44	51	22
ENSG00000197937	839	45	32	46	47	55	9
ENSG00000176853	838	38	22	22	41	35	34
ENSG00000167702	838	41	2	27	34	9	8
ENSG00000158301	838	32	23	43	45	28	16
ENSG00000013810	838	34	22	45	51	9	17
ENSG00000095539	838	36	4	21	34	35	16
ENSG00000034677	838	35	14	25	42	21	27
ENSG00000119969	838	41	34	34	39	28	24
ENSG00000143093	837	38	26	26	31	31	22
ENSG00000033627	837	31	14	22	32	41	9
ENSG00000185033	837	33	11	20	41	42	20
ENSG00000108773	837	36	23	36	41	33	16
ENSG00000115275	837	41	6	22	35	31	21
ENSG00000154654	837	46	28	33	41	38	23
ENSG00000178764	837	45	34	35	41	22	27
ENSG00000179542	837	38	28	28	40	32	19
ENSG00000165506	837	49	20	34	49	20	22
ENSG00000100726	837	46	7	33	42	21	13
ENSG00000158859	837	36	8	13	38	32	25
ENSG00000165617	836	36	24	28	38	20	16
ENSG00000133110	836	38	34	30	43	26	23
ENSG00000162641	836	41	41	35	48	25	30
ENSG00000119535	836	14	5	25	41	35	12
ENSG00000179104	836	37	22	18	31	50	11
ENSG00000102053	836	43	23	27	44	22	25
ENSG00000163814	836	41	14	18	39	38	18
ENSG00000123146	835	31	17	20	22	31	11
ENSG00000122376	835	35	30	25	40	35	25
ENSG00000169992	835	28	10	22	39	34	25
ENSG00000130726	835	28	23	35	49	18	23
ENSG00000147316	835	41	33	28	45	19	20
ENSG00000119866	835	43	19	33	39	21	20
ENSG00000137200	835	48	28	32	45	41	27
ENSG00000111859	834	41	24	22	43	27	24
ENSG00000155066	834	29	9	28	37	31	11
ENSG00000185989	834	48	29	34	50	34	29
ENSG00000128578	834	37	25	28	29	28	21
ENSG00000131584	834	43	14	30	42	27	33
ENSG00000066230	834	26	15	23	38	47	18
ENSG00000107771	834	37	23	22	29	28	23
ENSG00000197415	833	42	32	36	43	31	18
ENSG00000168758	833	43	11	22	38	38	16
ENSG00000104814	833	37	11	23	35	24	15
ENSG00000100796	833	40	32	42	44	35	24
ENSG00000140859	833	49	23	36	42	19	13
ENSG00000128000	833	46	33	39	40	59	8
ENSG00000124215	832	23	6	35	46	30	26
ENSG00000114948	832	36	23	23	40	40	22
ENSG00000149577	832	25	11	17	34	42	18
ENSG00000137216	832	28	10	16	30	45	17
ENSG00000183421	832	43	19	23	38	19	19
ENSG00000237850	832	38	66	19	19	17	6
ENSG00000114166	832	40	29	36	42	31	9
ENSG00000079112	832	39	24	35	46	43	30
ENSG00000141252	832	42	35	38	51	21	24
ENSG00000196453	831	42	25	49	47	25	9
ENSG00000196950	831	31	19	24	33	26	23
ENSG00000134243	831	32	18	23	49	43	34
ENSG00000139174	831	33	21	31	48	38	29
ENSG00000174175	830	29	15	20	31	32	14
ENSG00000074660	830	33	10	35	39	20	12
ENSG00000110719	830	36	5	25	34	30	12
ENSG00000062038	829	29	14	28	46	29	34
ENSG00000136811	829	43	47	46	46	8	26
ENSG00000171444	829	39	27	52	55	11	18
ENSG00000166589	829	28	8	32	41	33	29
ENSG00000073417	829	41	18	31	47	24	25
ENSG00000178409	828	47	25	43	47	32	36
ENSG00000163681	828	54	42	48	45	15	22
ENSG00000118473	828	37	22	26	37	27	15
ENSG00000148429	828	45	22	29	38	35	20
ENSG00000183621	828	37	35	23	30	19	12
ENSG00000110693	828	40	31	26	36	18	16
ENSG00000104881	828	37	8	22	35	28	24
ENSG00000119927	828	36	17	37	42	42	11
ENSG00000136152	828	46	33	31	47	33	24
ENSG00000149654	828	28	10	26	42	27	36
ENSG00000162601	828	38	31	31	39	31	21
ENSG00000184465	827	33	14	15	45	36	24
ENSG00000072858	827	20	11	15	30	42	17
ENSG00000172508	827	35	5	29	42	17	17
ENSG00000127831	827	41	32	39	46	38	21
ENSG00000161682	826	28	5	25	39	24	18
ENSG00000163527	826	34	13	12	22	40	16
ENSG00000006744	826	42	19	29	50	23	13
ENSG00000100644	826	33	26	31	45	32	28
ENSG00000227717	826	38	66	19	19	17	6
ENSG00000144369	826	38	22	24	41	31	18
ENSG00000134759	826	35	19	27	48	44	27
ENSG00000057657	825	42	29	32	34	32	8
ENSG00000153187	825	33	24	29	35	30	20
ENSG00000116337	825	36	19	25	34	43	17
ENSG00000189139	825	22	18	46	49	7	11
ENSG00000278318	825	50	32	39	46	47	18
ENSG00000155530	825	34	23	28	40	27	21
ENSG00000087301	825	28	18	30	42	37	23
ENSG00000137936	825	48	20	38	44	29	19
ENSG00000077238	825	26	13	34	44	29	13
ENSG00000172175	824	34	27	37	46	33	24
ENSG00000064703	824	42	23	31	42	21	17
ENSG00000185963	824	47	35	47	42	18	18
ENSG00000151651	824	32	9	25	36	30	21
ENSG00000008735	824	23	3	29	37	18	22
ENSG00000170485	824	24	11	20	33	26	17
ENSG00000151694	824	44	31	33	42	36	34
ENSG00000004897	824	39	26	18	28	29	19
ENSG00000156256	823	42	32	34	37	25	25
ENSG00000119682	823	38	25	22	30	42	12
ENSG00000102221	823	38	27	38	42	30	19
ENSG00000260691	823	51	43	44	50	19	20
ENSG00000166454	823	24	16	26	41	20	19
ENSG00000182511	822	40	17	42	54	28	18
ENSG00000148053	822	33	20	26	42	36	23
ENSG00000151422	822	42	34	44	55	36	29
ENSG00000166747	822	34	23	22	40	28	21
ENSG00000165097	822	44	30	28	44	35	23
ENSG00000099994	822	32	6	13	41	43	27
ENSG00000077782	822	35	18	31	46	37	28
ENSG00000176248	822	36	10	37	43	29	26
ENSG00000151491	822	34	21	27	48	27	33
ENSG00000076003	821	48	23	37	49	26	34
ENSG00000147124	821	42	36	36	44	45	10
ENSG00000132294	821	45	23	36	44	27	26
ENSG00000092529	821	47	26	36	53	40	26
ENSG00000106009	821	43	8	30	47	27	20
ENSG00000066468	821	34	21	36	46	45	27
ENSG00000186994	821	33	2	30	43	4	18
ENSG00000258890	821	37	35	41	41	25	21
ENSG00000166897	820	33	18	28	43	36	21
ENSG00000168067	820	36	14	30	36	30	16
ENSG00000174243	820	42	38	39	44	25	28
ENSG00000102900	819	53	22	31	45	32	28
ENSG00000163166	819	43	29	43	45	10	50
ENSG00000140795	819	38	17	37	47	21	23
ENSG00000135407	819	41	25	32	48	37	34
ENSG00000148120	819	36	16	39	46	39	18
ENSG00000170949	818	46	33	48	51	55	10
ENSG00000109572	818	33	17	21	31	41	20
ENSG00000169129	818	38	30	34	40	18	30
ENSG00000006740	818	30	19	27	33	16	18
ENSG00000135931	818	46	23	32	40	33	14
ENSG00000171815	818	32	15	27	47	28	31
ENSG00000084710	817	42	23	33	44	32	17
ENSG00000092295	817	44	15	21	38	31	29
ENSG00000082458	817	38	16	29	43	28	25
ENSG00000108819	817	31	18	39	38	21	17
ENSG00000165246	816	26	18	19	42	45	29
ENSG00000166484	816	27	12	26	37	21	20
ENSG00000184613	816	38	14	28	46	35	34
ENSG00000143393	816	37	24	35	47	27	22
ENSG00000186815	816	25	9	26	38	42	9
ENSG00000146938	816	24	17	19	42	42	29
ENSG00000171365	816	30	14	22	33	41	21
ENSG00000003756	815	35	24	25	42	32	31
ENSG00000066629	815	41	19	21	47	39	32
ENSG00000136636	815	41	16	23	40	29	16
ENSG00000152061	815	34	28	40	48	31	28
ENSG00000213471	815	46	27	33	39	29	16
ENSG00000090020	815	21	14	21	41	28	22
ENSG00000124788	815	30	14	18	28	15	9
ENSG00000164627	814	43	30	37	44	24	20
ENSG00000106263	814	34	21	32	44	38	31
ENSG00000145819	814	41	29	33	38	31	21
ENSG00000123552	814	42	34	34	43	32	21
ENSG00000129910	814	33	6	28	37	24	28
ENSG00000175697	814	29	17	19	28	23	21
ENSG00000171533	813	59	43	26	49	8	26
ENSG00000131375	813	50	35	26	49	49	27
ENSG00000048471	813	41	27	35	43	30	18
ENSG00000149451	813	18	4	15	38	23	26
ENSG00000172995	812	20	14	16	21	26	17
ENSG00000111641	812	35	30	20	39	12	22
ENSG00000132128	812	31	10	28	42	24	13
ENSG00000115616	812	28	15	25	34	35	13
ENSG00000198824	812	48	36	46	47	24	13
ENSG00000024526	811	44	27	30	38	28	15
ENSG00000022840	811	32	22	35	40	28	14
ENSG00000022976	811	32	12	36	42	13	13
ENSG00000144036	811	47	34	31	44	30	30
ENSG00000058673	810	41	35	44	47	6	10
ENSG00000067208	810	39	28	43	41	22	19
ENSG00000176049	810	45	43	55	54	19	25
ENSG00000157107	810	33	29	32	42	27	18
ENSG00000189180	810	48	34	38	43	54	13
ENSG00000132478	810	32	14	29	37	25	19
ENSG00000165973	810	40	16	22	43	35	28
ENSG00000122194	810	43	24	30	43	45	18
ENSG00000113448	809	36	15	26	38	26	29
ENSG00000156232	809	40	25	34	42	18	16
ENSG00000198521	809	39	40	39	41	56	7
ENSG00000137338	809	36	19	39	48	28	21
ENSG00000170289	809	33	21	26	38	27	21
ENSG00000112118	808	52	28	29	39	25	31
ENSG00000169221	808	27	11	28	31	16	13
ENSG00000173838	808	31	18	34	42	22	24
ENSG00000183751	808	44	17	21	50	34	29
ENSG00000053900	808	35	30	39	48	38	19
ENSG00000124831	808	35	27	44	33	8	27
ENSG00000242802	807	43	8	26	37	21	18
ENSG00000262655	807	35	28	33	40	28	19
ENSG00000180626	807	53	34	35	41	44	10
ENSG00000135999	807	43	24	29	37	14	14
ENSG00000110048	807	41	27	33	35	28	15
ENSG00000134242	807	35	28	32	40	34	21
ENSG00000165548	806	27	12	10	21	47	14
ENSG00000068078	806	32	16	31	42	33	23
ENSG00000165280	806	42	26	32	43	24	31
ENSG00000184381	806	40	18	26	36	28	20
ENSG00000215817	805	43	35	43	46	9	9
ENSG00000214558	805	43	35	43	47	9	10
ENSG00000005889	805	26	27	35	38	19	34
ENSG00000147526	805	42	36	42	42	17	28
ENSG00000107593	805	34	13	24	40	37	14
ENSG00000155629	805	35	20	38	45	31	25
ENSG00000141524	805	29	8	20	23	36	8
ENSG00000132424	805	23	25	25	36	15	23
ENSG00000103249	805	22	11	21	29	36	13
ENSG00000111860	805	42	24	41	46	21	25
ENSG00000130234	805	31	22	28	41	37	20
ENSG00000138190	804	44	26	37	42	31	34
ENSG00000186532	804	42	19	36	48	24	24
ENSG00000111344	804	45	18	31	40	29	21
ENSG00000167721	804	33	24	20	32	29	25
ENSG00000169169	803	31	8	16	42	45	21
ENSG00000166598	803	40	33	36	43	28	31
ENSG00000102606	803	40	26	20	35	32	15
ENSG00000171488	803	44	28	26	36	29	21
ENSG00000167380	803	50	35	31	47	49	17
ENSG00000197147	803	32	26	26	38	28	14
ENSG00000170667	803	46	26	29	40	27	17
ENSG00000198455	803	27	16	20	35	25	19
ENSG00000116809	803	36	26	31	46	28	23
ENSG00000105808	803	47	26	29	40	27	17
ENSG00000283632	802	41	1	34	44	17	15
ENSG00000160867	802	34	12	29	44	36	22
ENSG00000185418	802	40	24	34	46	35	21
ENSG00000132670	802	37	18	22	32	26	17
ENSG00000162572	802	31	6	19	28	27	9
ENSG00000100784	802	42	31	31	48	34	26
ENSG00000174576	802	14	8	33	40	30	21
ENSG00000161618	802	23	3	28	38	26	13
ENSG00000081019	802	34	19	30	42	29	21
ENSG00000079482	802	53	36	38	45	31	14
ENSG00000096401	802	35	30	39	39	19	23
ENSG00000205744	801	27	8	20	39	20	24
ENSG00000106327	801	32	4	14	38	39	26
ENSG00000204256	801	34	26	25	38	13	17
ENSG00000120322	801	28	12	36	47	29	27
ENSG00000110851	801	20	16	31	43	24	27
ENSG00000067646	801	26	27	35	38	19	33
ENSG00000091436	800	44	33	32	43	38	25
ENSG00000120324	800	31	9	35	51	29	27
ENSG00000148835	800	33	12	19	39	25	33
ENSG00000175467	800	39	22	49	46	18	24
ENSG00000169064	800	47	40	32	35	26	22
ENSG00000167615	800	37	17	20	31	28	15
ENSG00000177324	799	27	13	20	31	25	20
ENSG00000082781	799	44	22	28	48	31	25
ENSG00000150394	799	25	14	23	44	34	32
ENSG00000198205	799	27	16	20	35	26	15
ENSG00000131115	799	51	36	40	44	52	11
ENSG00000049769	799	19	3	28	37	10	14
ENSG00000009307	798	48	32	32	38	33	32
ENSG00000174898	798	28	11	15	37	36	26
ENSG00000103194	798	34	20	28	41	22	21
ENSG00000177602	798	38	22	18	36	25	18
ENSG00000150093	798	33	25	40	49	27	24
ENSG00000120327	798	35	13	29	51	29	30
ENSG00000180251	798	29	15	19	31	37	11
ENSG00000112852	798	27	9	30	49	27	28
ENSG00000141385	797	46	28	26	41	34	23
ENSG00000177839	797	28	12	30	50	26	28
ENSG00000112706	797	37	27	36	40	38	28
ENSG00000100991	797	41	24	32	41	29	19
ENSG00000184363	797	44	12	23	39	21	19
ENSG00000197479	797	29	12	29	47	27	25
ENSG00000196792	797	28	14	26	41	30	30
ENSG00000127995	797	42	27	18	30	40	9
ENSG00000198400	796	26	9	28	39	29	16
ENSG00000113205	796	28	11	28	47	26	19
ENSG00000140937	796	35	15	25	48	33	31
ENSG00000163374	796	32	23	25	31	15	13
ENSG00000119669	796	35	15	15	30	21	16
ENSG00000171017	796	41	25	31	44	20	7
